Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
1,Manchester City,38,28,7,3,96,34,62,91,2.39
2,Arsenal,38,28,5,5,91,29,62,89,2.34
3,Liverpool,38,24,10,4,86,41,45,82,2.16
4,Aston Villa,38,20,8,10,76,61,15,68,1.79
5,Tottenham Hotspur,38,20,6,12,74,61,13,66,1.74
6,Chelsea,38,18,9,11,77,63,14,63,1.66
7,Newcastle United,38,18,6,14,85,62,23,60,1.58
8,Manchester United,38,18,6,14,57,58,-1,60,1.58
9,West Ham United,38,14,10,14,60,74,-14,52,1.37
10,Crystal Palace,38,13,10,15,57,58,-1,49,1.29
11,Brighton & Hove Albion,38,12,12,14,55,62,-7,48,1.26
12,Everton,38,13,9,16,40,51,-11,48,1.26
13,Bournemouth,38,13,9,16,54,67,-13,48,1.26
14,Fulham,38,13,8,17,55,61,-6,47,1.24
15,Wolverhampton,38,13,7,18,50,65,-15,46,1.21
16,Brentford,38,10,9,19,56,65,-9,39,1.03
17,Nottingham Forest,38,9,9,20,49,67,-18,36,0.95
18,Luton Town,38,6,8,24,52,85,-33,26,0.68
19,Burnley,38,5,9,24,41,78,-37,24,0.63
20,Sheffield United,38,3,7,28,35,104,-69,16,0.42
